Month,Rep,Trt_Nut,Trt_Shell,Trt,Nematoda,Clitellio,Tubificoides,Mya,Gammarus,CulicidaeLarvae,Littorina,Eteone,Jaera,Cerebratulus,Ostracoda,Limecola,Hydrobiidae,Mytilus,Hediste,Gammaridae,Streblospio,InsectaLarvae,Nephtys,Polydora,Corophium
1,1,0,0,N0S0,8,2,35,0,4,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,5
1,1,0,L,N0SL,26,12,9,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41
1,1,0,H,N0SH,36,39,29,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,36
1,1,L,0,NLS0,2,2,10,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5
1,1,L,L,NLSL,4,21,51,0,0,1,0,4,1,0,0,0,0,0,0,0,3,0,0,0,15
1,1,L,H,NLSH,4,18,20,1,0,2,0,0,1,3,0,0,6,0,0,0,0,2,0,0,17
1,1,H,0,NHS0,12,33,28,3,1,1,0,0,0,0,1,1,0,0,0,0,6,0,0,0,33
1,1,H,L,NHSL,1,2,22,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,10
1,1,H,H,NHSH,10,4,24,0,0,0,0,3,0,1,0,1,1,1,0,0,2,0,0,0,24
1,2,0,0,N0S0,1,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,51
1,2,0,L,N0SL,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,43
1,2,0,H,N0SH,1,0,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,16
1,2,L,0,NLS0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,35
1,2,L,L,NLSL,8,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51
1,2,L,H,NLSH,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30
1,2,H,0,NHS0,0,3,6,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,15
1,2,H,L,NHSL,0,1,8,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,35
1,2,H,H,NHSH,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,20
1,3,0,0,N0S0,3,3,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,21
1,3,0,L,N0SL,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17
1,3,0,H,N0SH,0,0,16,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26
1,3,L,0,NLS0,5,0,4,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44
1,3,L,L,NLSL,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41
1,3,L,H,NLSH,3,1,13,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,16
1,3,H,0,NHS0,6,11,50,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,32
1,3,H,L,NHSL,3,7,12,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28
1,3,H,H,NHSH,2,15,47,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,44
1,4,0,0,N0S0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
1,4,0,L,N0SL,8,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33
1,4,0,H,N0SH,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
1,4,L,0,NLS0,0,0,9,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,70
1,4,L,L,NLSL,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,34
1,4,L,H,NLSH,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,29
1,4,H,0,NHS0,0,25,19,1,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,93
1,4,H,L,NHSL,0,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55
1,4,H,H,NHSH,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20
1,5,0,0,N0S0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,35
1,5,0,L,N0SL,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
1,5,0,H,N0SH,1,2,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,28
1,5,L,0,NLS0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,43
1,5,L,L,NLSL,2,6,21,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,38
1,5,L,H,NLSH,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42
1,5,H,0,NHS0,2,13,7,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,33
1,5,H,L,NHSL,2,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,35
1,5,H,H,NHSH,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
1,6,0,0,N0S0,1,9,31,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42
1,6,0,L,N0SL,36,19,19,2,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,25
1,6,0,H,N0SH,32,3,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24
1,6,L,0,NLS0,24,3,9,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,52
1,6,L,L,NLSL,15,22,49,0,26,0,0,0,9,0,0,0,0,0,0,19,2,0,0,0,73
1,6,L,H,NLSH,4,0,17,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,30
1,6,H,0,NHS0,11,8,22,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,56
1,6,H,L,NHSL,9,14,24,0,34,0,0,0,1,1,0,0,3,0,0,10,2,0,0,0,43
1,6,H,H,NHSH,0,5,28,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,15
1,7,0,0,N0S0,1,47,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,20
1,7,0,L,N0SL,3,48,0,4,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,24
1,7,0,H,N0SH,1,54,0,2,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,0,23
1,7,L,0,NLS0,9,53,12,6,0,1,0,0,1,2,0,1,0,0,0,0,3,0,0,1,19
1,7,L,L,NLSL,5,41,5,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,28
1,7,L,H,NLSH,0,26,12,1,0,0,0,1,0,0,0,2,0,0,3,0,0,1,0,0,14
1,7,H,0,NHS0,1,26,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,31
1,7,H,L,NHSL,2,30,5,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,48
1,7,H,H,NHSH,1,52,2,0,3,1,0,2,1,0,0,0,0,0,0,0,2,1,0,0,17
1,8,0,0,N0S0,0,3,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,8,0,L,N0SL,0,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
1,8,0,H,N0SH,0,3,13,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,4
1,8,L,0,NLS0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1,8,L,L,NLSL,0,26,35,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,8,L,H,NLSH,1,3,6,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,4
1,8,H,0,NHS0,0,32,48,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2
1,8,H,L,NHSL,3,3,7,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
1,8,H,H,NHSH,1,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23
