Date,Site,Sample,Trt_Nut,Trt_Shell,Trt,Rep,Wet,Dry,Porosity,Crucible,Cruc+Wet,Cruc+Dry,OM_burn,Loss550,%OM,OM,Carb_burn,Loss950,%Carb,Carb
2020,LL,PC 1,0,0,N0S0,1,2.6523,2.0175,23.93394412,13.8557,16.508,15.8732,15.8339,1.9782,1.94795539,0.019479554,15.7732,1.9175,3.008674102,0.030086741
2020,LL,N0SL 1,0,L,N0SL,1,2.976,1.9943,32.98723118,18.0864,21.0624,20.0807,20.0117,1.9253,3.472247,0.03472247,19.8165,1.7301,7.156359,0.07156359
2020,LL,N0SH 1,0,H,N0SH,1,2.498,1.9625,21.43714972,18.0813,20.5793,20.0438,18.9555,0.8742,2.603497897,0.02603498,18.8905,0.8092,2.306840824,0.02306841
2020,LL,NLS0 1,L,0,NLS0,1,2.9745,2.2388,24.73356867,11.6073,14.5818,13.8461,13.797,2.1897,2.193139182,0.021931392,13.7325,2.1252,2.881007683,0.028810077
2020,LL,NLSL 1,L,L,NLSL,1,2.3073,1.7182,25.53200711,17.5681,19.8754,19.2863,17.9095,0.3414,5.282152231,0.05282152,17.8657,0.2976,4.813460817,0.04813461
2020,LL,NLSH 1,L,H,NLSH,1,2.8267,2.0885,26.11525807,14.007,16.8337,16.0955,16.0275,2.0205,3.255925305,0.032559253,15.9898,1.9828,1.805123294,0.018051233
2020,LL,NHS0 1,H,0,NHS0,1,2.6033,1.8644,28.38320593,19.5992,22.2025,21.4636,21.407,1.8078,3.035829221,0.030358292,21.3834,1.7842,1.265822785,0.012658228
2020,LL,NHSL 1,H,L,NHSL,1,3.0601,2.4406,20.24443646,11.5714,14.6315,14.012,13.9554,2.384,2.31910186,0.023191019,13.9301,2.3587,1.036630337,0.010366303
2020,LL,NHSH 1,H,H,NHSH,1,2.889,2.0833,27.88854275,14.0051,16.8941,16.0884,16.0391,2.034,4.063429138,0.04063429,15.803,1.7979,4.132804757,0.04132805
2020,LL,PC 2,0,0,N0S0,2,2.8021,1.976,29.48146033,16.7444,19.5465,18.7204,18.6599,1.9155,3.061740891,0.030617409,18.6293,1.8849,1.548582996,0.01548583
