Sample,Block,Trt,Trt_Nut,Trt_Shell,Core,Plate,Plate+wet,wet,plate+dry,dry,plate+dry-scoop,dry-scoop,porosity,,plate+acid_dry,acid_dry,%shell,4mm,2mm,1mm,710um,500um,250um,125um,63um,27.3um,Mean,StdDev,Skewness,Kurtosis,Total_retained,crucible,crucible+scoop,scoop,crucible+ash,ash,organic_matter
PC 1,1,PC,0,0,65,4.234,216.516,212.282,167.59,163.356,166.493,162.259,23.04764417,167.485,165.485,161.251,0.67153946,38.55,23.291,18.681,6.471,6.121,18.236,15.926,20.836,12.152,0.458904729,2.17651283,7.633481991,1.628409958,138.112,15.355,16.353,0.998,16.327,0.972,2.605210421
N0SL 1,1,N0SL,0,L,9,4.369,215.955,211.586,157.271,152.902,155.663,151.294,27.7352944,156.601,154.601,150.232,1.051654001,33.355,33.55,18.613,6.173,5.297,10.371,10.212,21.891,6.122,0.083548744,2.181516958,46.32333458,1.814132008,139.462,11.428,13.036,1.608,12.997,1.569,2.425373134
N0SH1,1,N0SH,0,H,1,4.343,190.163,185.82,143.746,139.403,142.545,138.202,24.9795501,143.377,141.377,137.034,0.861530957,48.064,22.858,11.59,4.126,3.653,6.726,8.152,19.254,10.522,-0.295253892,2.313728035,96.31382174,1.87181887,124.423,15.102,16.167,1.065,16.144,1.042,2.159624413
NLS0 1,1,NLS0,L,0,41,4.246,214.428,210.182,162.332,158.086,156.506,152.26,24.78613773,161.272,159.272,155.026,3.68533583,14.748,22.862,15.995,5.934,5.73,14.059,14.045,20.755,10.35,0.741507343,2.097444611,-0.581606765,1.658774528,114.128,15.681,17.131,1.45,17.089,1.408,2.896551724
NLSL 1,1,NLSL,L,L,57,15.24,209.74,194.5,164.064,148.824,162.31,147.07,23.48380463,164.085,161.585,146.345,1.178573348,26.056,26.878,17.529,7.381,6.487,19.252,9.46,22.158,9.569,0.403050828,2.138377739,15.19657831,1.708670064,135.201,11.574,12.6,1.026,12.572,0.998,2.729044834
NLSH 1,1,NLSH,L,H,49,5.199,198.097,192.898,148.117,142.918,146.86,141.661,25.91006646,148.119,146.119,140.92,0.879525322,34.693,22.162,15.311,5.938,5.137,12.295,10.649,21.008,12.852,0.180560251,2.265894255,37.5389594,1.633391414,127.193,15.352,16.44,1.088,16.403,1.051,3.400735294
NHS0 1,1,NHS0,H,0,17,7.416,215.676,208.26,158.954,151.538,157.535,150.119,27.23614712,159.116,156.616,149.2,0.936398791,23.646,16.955,12.103,6.314,6.459,21.684,18.85,31.643,15.483,1.001600026,2.230785889,-39.31149199,1.662004698,137.654,11.413,12.674,1.261,12.64,1.227,2.696272799
NHSL 1,1,NHSL,H,L,33,17.701,200.987,183.286,162.856,145.155,161.566,143.865,20.80409851,162.572,160.072,142.371,0.888705177,28.583,14.462,14.618,6.835,6.795,19.88,19.134,24.051,9.367,0.732553142,2.241949064,-22.46693195,1.597207905,134.358,11.956,13.171,1.215,13.118,1.162,4.362139918
NHSH 1,1,NHSH,H,H,25,13.939,215.9,201.961,175.912,161.973,174.494,160.555,19.79986235,175.652,173.152,159.213,0.875454551,68.527,21.646,12.281,4.993,4.763,8.82,8.367,22.339,8.141,-0.458644455,2.327547725,113.7365698,1.957901298,151.736,16.424,17.472,1.048,17.415,0.991,5.438931298
UC 1,1,UC,UC,UC,73,13.935,219.931,205.996,169.799,155.864,168.177,154.242,24.33639488,169.261,166.761,152.826,1.040650824,25.8,20.181,19.209,7.091,8.153,22.464,13.878,24.039,11.257,0.634512481,2.143869995,-4.972536239,1.686197417,140.815,11.443,12.601,1.158,12.568,1.125,2.849740933
