Sample,S,N,J',H'(loge),1-Lambda',,Month,Rep,Trt_Nut,Trt_Shell,Trt,Core
N0SL 1 8.06,8,93,0.690759246,1.436393471,0.708274895,,1,1,0,L,N0SL,1
N0SH 1 8.06,6,146,0.844870658,1.513805003,0.771658007,,1,1,0,H,N0SH,2
NLS0 1 8.06,9,25,0.823583943,1.809598882,0.806666667,,1,1,L,0,NLS0,3
NLSL 1 8.06,8,100,0.678316714,1.410519954,0.675757576,,1,1,L,L,NLSL,4
NLSH 1 8.06,10,74,0.798342965,1.838252609,0.81303221,,1,1,L,H,NLSH,5
NHS0 1 8.06,10,119,0.732750397,1.687220142,0.783791483,,1,1,H,0,NHS0,6
NHSL 1 8.06,7,39,0.646688759,1.25839822,0.624831309,,1,1,H,L,NHSL,7
NHSH 1 8.06,10,71,0.714754077,1.645782082,0.755734406,,1,1,H,H,NHSH,8
PC 1 8.06,9,60,0.654715817,1.438557684,0.636723164,,1,1,0,0,PC,9
UC 1 8.06,6,27,0.489201117,0.876530734,0.398860399,,1,1,UC,UC,UC,10
N0SL 2 8.05,3,57,0.662391868,0.727711846,0.407894737,,1,2,0,L,N0SL,11
N0SH 2 8.05,5,27,0.681593157,1.096981867,0.595441595,,1,2,0,H,N0SH,12
NLS0 2 8.05,5,55,0.654464815,1.053320485,0.554208754,,1,2,L,0,NLS0,13
NLSL 2 8.05,4,64,0.489893028,0.679135942,0.350694444,,1,2,L,L,NLSL,14
NLSH 2 8.05,3,32,0.252239448,0.277113357,0.122983871,,1,2,L,H,NLSH,15
NHS0 2 8.05,5,29,0.802148862,1.291008791,0.68226601,,1,2,H,0,NHS0,16
NHSL 2 8.05,7,49,0.505929622,0.984493587,0.469387755,,1,2,H,L,NHSL,17
NHSH 2 8.05,3,29,0.757839021,0.832571262,0.492610837,,1,2,H,H,NHSH,18
PC 2 8.05,6,58,0.30490883,0.546323284,0.226860254,,1,2,0,0,PC,19
UC 2 8.05,8,71,0.514961824,1.07083301,0.473239437,,1,2,UC,UC,UC,20
N0SL 3 8.04,5,34,0.676176788,1.088264558,0.616755793,,1,3,0,L,N0SL,21
N0SH 3 8.04,6,46,0.570796417,1.022729885,0.570048309,,1,3,0,H,N0SH,22
NLS0 3 8.04,7,60,0.514059239,1.00031309,0.453107345,,1,3,L,0,NLS0,23
NLSL 3 8.04,4,49,0.427056221,0.592025632,0.293367347,,1,3,L,L,NLSL,24
NLSH 3 8.04,6,36,0.722734493,1.294966371,0.679365079,,1,3,L,H,NLSH,25
NHS0 3 8.04,7,109,0.720010001,1.401074769,0.691980972,,1,3,H,0,NHS0,26
NHSL 3 8.04,7,56,0.732641955,1.425655415,0.692207792,,1,3,H,L,NHSL,27
NHSH 3 8.04,7,112,0.631439973,1.228725452,0.656692407,,1,3,H,H,NHSH,28
PC 3 8.04,6,36,0.718461789,1.287310713,0.631746032,,1,3,0,0,PC,29
UC 3 8.04,4,30,0.605738913,0.839732439,0.448275862,,1,3,UC,UC,UC,30
N0SL 4 8.04,7,50,0.57077331,1.110673577,0.537959184,,1,4,0,L,N0SL,31
N0SH 4 8.04,3,43,0.39841382,0.437702318,0.217054264,,1,4,0,H,N0SH,32
NLS0 4 8.04,5,86,0.426067481,0.685729157,0.32749658,,1,4,L,0,NLS0,33
NLSL 4 8.04,5,44,0.4658136,0.749698068,0.384778013,,1,4,L,L,NLSL,34
NLSH 4 8.04,4,41,0.588400711,0.815696588,0.459756098,,1,4,L,H,NLSH,35
NHS0 4 8.04,7,144,0.546099051,1.062659686,0.538364413,,1,4,H,0,NHS0,36
NHSL 4 8.04,5,63,0.332194166,0.534645885,0.236047107,,1,4,H,L,NHSL,37
NHSH 4 8.04,4,23,0.382681806,0.53050963,0.249011858,,1,4,H,H,NHSH,38
PC 4 8.04,4,66,0.304882057,0.422656276,0.197668998,,1,4,0,0,PC,39
UC 4 8.04,5,70,0.506167229,0.814644728,0.393374741,,1,4,UC,UC,UC,40
N0SL 5 8.05,3,58,0.725369772,0.796900146,0.520266183,,1,5,0,L,N0SL,41
N0SH 5 8.05,5,47,0.672956755,1.083082115,0.58279371,,1,5,0,H,N0SH,42
NLS0 5 8.05,4,56,0.541262199,0.750348734,0.393506494,,1,5,L,0,NLS0,43
NLSL 5 8.05,6,74,0.714737862,1.280638332,0.651980748,,1,5,L,L,NLSL,44
NLSH 5 8.05,4,47,0.325407918,0.451111161,0.201665125,,1,5,L,H,NLSH,45
NHS0 5 8.05,6,61,0.722610162,1.2947436,0.65136612,,1,5,H,0,NHS0,46
NHSL 5 8.05,6,46,0.513413969,0.91991434,0.417391304,,1,5,H,L,NHSL,47
NHSH 5 8.05,4,55,0.465743222,0.645657203,0.322558923,,1,5,H,H,NHSH,48
PC 5 8.05,4,77,0.730861377,1.013189006,0.606630212,,1,5,0,0,PC,49
UC 5 8.05,4,74,0.598622411,0.829866873,0.480932988,,1,5,UC,UC,UC,50
N0SL 6 8.05,8,107,0.771657375,1.604616401,0.774466584,,1,6,0,L,N0SL,51
N0SH 6 8.05,6,79,0.725452051,1.299835583,0.698799091,,1,6,0,H,N0SH,52
NLS0 6 8.05,6,92,0.654566028,1.172824879,0.607262303,,1,6,L,0,NLS0,53
NLSL 6 8.05,8,215,0.850730624,1.7690446,0.796870246,,1,6,L,L,NLSL,54
NLSH 6 8.05,6,60,0.709670934,1.271559616,0.662146893,,1,6,L,H,NLSH,55
NHS0 6 8.05,6,101,0.69844686,1.251448776,0.632277228,,1,6,H,0,NHS0,56
NHSL 6 8.05,10,141,0.786794323,1.811660878,0.805876393,,1,6,H,L,NHSL,57
NHSH 6 8.05,7,56,0.702192108,1.36640275,0.675324675,,1,6,H,H,NHSH,58
PC 6 8.05,7,87,0.613942911,1.194677741,0.635658915,,1,6,0,0,PC,59
UC 6 8.05,7,162,0.701092132,1.364262295,0.712292002,,1,6,UC,UC,UC,60
N0SL 7 8.06,7,83,0.584763817,1.137897847,0.584484279,,1,7,0,L,N0SL,61
