Sample	AMBI	sediment_reworking_mode	environmental_position	longevity	max_size	feeding_mode	dispersal	exposure_potential	position_sediment	habitat_structure	Motility 	Hypoxia_sensitivity
1 N0S0 1	246	160	111	50	120	134	182	69	57	105	124	88
1 N0SL 1	314	235	182	58	185	237	276	94	91	140	185	204
1 N0SH 1	572	394	290	71	287	363	438	148	145	249	293	256
1 NLS0 1	92	64	45	26	50	55	72	27	24	44	49	42
1 NLSL 1	439	276	197	78	194	213	296	101	98	185	198	139
1 NLSH 1	283	180	133	41	149	148	212	78	75	130	140	114
1 NHS0 1	468	318	233	80	233	264	355	121	118	195	237	202
1 NHSL 1	164	104	76	36	80	79	117	41	41	69	78	61
1 NHSH 1	269	184	140	62	144	171	216	74	74	121	141	135
1 N0S0 2	182	125	116	59	117	121	175	58	58	66	116	163
1 N0SL 2	185	128	114	64	114	128	157	57	57	64	114	150
1 N0SH 2	83	61	52	31	56	68	67	29	29	33	54	67
1 NLS0 2	183	130	110	62	110	132	145	55	55	65	110	136
1 NLSL 2	200	141	128	57	128	146	190	64	64	76	128	175
1 NLSH 2	96	63	63	33	65	67	97	34	34	35	63	94
1 NHS0 2	104	70	57	32	59	65	79	30	30	40	58	64
1 NHSL 2	160	108	94	47	99	100	147	50	47	59	97	123
1 NHSH 2	87	67	58	28	58	76	79	29	29	34	58	78
1 N0S0 3	126	82	70	28	73	76	108	38	38	52	72	81
1 N0SL 3	130	84	68	31	67	72	102	34	34	50	68	70
1 N0SH 3	167	110	89	52	95	94	140	50	47	65	92	103
1 NLS0 3	176	123	110	57	119	127	177	67	55	67	122	162
1 NLSL 3	154	103	96	46	96	100	144	48	48	55	96	132
1 NLSH 3	136	90	71	33	73	81	108	37	37	59	72	73
1 NHS0 3	446	285	216	93	209	232	320	108	108	175	216	180
1 NHSL 3	196	128	103	50	114	114	168	65	53	77	116	125
1 NHSH 3	458	288	223	97	222	231	335	114	111	182	224	206
1 N0S0 4	202	139	132	60	132	142	198	66	66	73	132	189
1 N0SL 4	159	115	98	43	100	116	150	52	49	64	101	127
1 N0SH 4	131	85	82	43	86	84	129	47	41	44	88	123
1 NLS0 4	264	169	162	86	169	166	256	98	80	95	176	238
1 NLSL 4	148	98	88	45	88	92	130	44	44	54	88	114
1 NLSH 4	99	58	60	41	80	70	121	65	29	35	92	123
1 NHS0 4	510	329	282	118	280	283	423	141	141	186	282	328
