Species,AMBI,sed_mode,env_pos,max_size,feed,dispers,exp_pot,pos_sed,hab_struc,Mot,Hypoxia_sensitivity
Nematoda,3,biodif,inf,med,pred,lec,low,oxy,pit,free,low
Clitellio,5,biodif,inf,med,dep,lec,low,oxy,pit,free,tol
Tubificoides,5,biodif,inf,med,dep,lec,low,oxy,pit,free,tol
Mya,2,gallery,inf,lg,sus,plankdays,low,oxy,pit,lim,low
Gammarus,1,no,pel,med,graz,lec,high,pel,pel,pel,high
Littorina,2,surf,epi,lg,graz,plankdays,mod,surf,tra,free,low
Eteone,3,biodif,inf,med,pred,plankdays,low,oxy,tra,free,low
Jaera,1,no,epi,sm,scav,direct,high,surf,tra,free,high
Cerebratulus,3,biodif,inf,lg,pred,plankmon,low,oxy,pit,free,low
Ostracoda,0,surf,epi,sm,sus,lec,mod,surf,pit,free,tol
Limecola,3,gallery,inf,lg,sus,plankmon,low,oxy,pit,lim,low
Hydrobiidae,3,surf,epi,lg,graz,plankdays,mod,surf,tra,free,tol
Mytilus,3,no,epi,lg,sus,plankmon,high,att,epi,sed,low
Hediste,3,biodif,inf,med,pred,semel,low,oxy,tube,free,low
Gammaridae,1,no,pel,med,graz,lec,high,pel,pel,pel,high
Streblospio,3,tube,inf,sm,dep,plankdays,low,oxy,tube,free,tol
Nephtys,2,biodif,inf,med,pred,plankmon,low,oxy,pit,free,tol
Polydora,4,tube,inf,sm,dep,plankdays,low,oxy,tube,free,low
Corophium,3,tube,inf,med,dep,lec,low,oxy,tube,free,high
