Water_trt,Water_Rep,Header,Animal_Rep,Container,Algae_Start,Algae_End,Algae_Diff,Rate
Acidified,1,1,1,1,973900,964300,9600,320
Acidified,1,1,2,2,1692000,1317000,375000,12500
Acidified,1,1,3,3,1660000,1117000,543000,18100
Acidified,2,3,1,7,1064000,845800,218200,7273.333333
Acidified,2,3,2,8,1811000,947100,863900,28796.66667
Acidified,2,3,3,9,930500,853100,77400,5160
Acidified,3,8,1,22,1673000,1342000,331000,11033.33333
Acidified,3,8,2,23,975500,823900,151600,5053.333333
Acidified,3,8,3,24,1468000,1345000,123000,4100
Blank,1,10,1,28,1201000,1003000,198000,13200
Blank,1,10,2,29,1554000,1473000,81000,2700
Blank,1,10,3,30,1341000,1217000,124000,4133.333333
Control,1,2,1,4,1948000,1032000,916000,30533.33333
Control,1,2,2,5,1805000,1319000,486000,32400
Control,1,2,3,6,1199000,841100,357900,11930
Control,2,6,1,16,1476000,1449000,27000,900
Control,2,6,2,17,1275000,996900,278100,9270
Control,2,6,3,18,1644000,1490000,154000,5133.333333
Control,3,9,1,25,1490000,1387000,103000,3433.333333
Control,3,9,2,26,907900,890600,17300,1153.333333
Control,3,9,3,27,1014000,836500,177500,5916.666667
Variable,1,4,1,10,1588000,1409000,179000,5966.666667
Variable,1,4,2,11,973500,922800,50700,1690
Variable,1,4,3,12,1319000,1016000,303000,20200
Variable,2,5,1,13,1103000,860300,242700,8090
Variable,2,5,2,14,1270000,1119000,151000,10066.66667
Variable,2,5,3,15,1034000,984100,49900,1663.333333
Variable,3,7,1,19,1479000,1455000,24000,800
Variable,3,7,2,20,1005000,968100,36900,1230
Variable,3,7,3,21,1047000,926300,120700,4023.333333
