Water_Trt,Water_Rep,Header,Sed_Trt,Animal_Rep,Container,Individ,Total_wet,Shell_wet,Tissue_wet,Shell_dry,Tissue_dry,Total_dry
Acidified,1,1,In,1,1,1,0.0091,0.0078,0.0002,0.0078,0.0002,0.008
Acidified,1,1,In,1,1,2,0.0542,0.0249,0.0122,0.0189,0.0023,0.0212
Acidified,1,1,In,1,1,3,0.0432,0.0209,NA,0.0122,NA,NA
Acidified,1,1,In,1,1,4,0.0172,0.0103,0.0026,0.0079,0.0008,0.0087
Acidified,1,1,In,1,1,5,0.0089,0.0045,0.0004,0.0041,0.0001,0.0042
Acidified,1,1,In,1,1,6,0.0111,0.0057,0.0013,0.0051,0.0005,0.0056
Acidified,1,1,In,1,1,7,0.0119,0.0066,0.0001,0.0064,0.0001,0.0065
Acidified,1,1,In,1,1,8,0.0336,0.0179,0.0053,0.0144,0.0011,0.0155
Acidified,1,1,In,1,1,9,0.0105,0.0061,0.0013,0.0057,0.0003,0.006
Acidified,1,1,In,1,1,10,0.0247,0.0137,0.0051,0.0099,0.001,0.0109
Acidified,1,1,In,1,1,11,0.0136,0.0082,0.0021,0.007,0.0006,0.0076
Acidified,1,1,In,1,1,12,0.0088,0.0046,0.0005,0.0044,0.0005,0.0049
Acidified,1,1,In,2,2,1,0.0295,0.0189,NA,0.0133,NA,NA
Acidified,1,1,In,2,2,2,0.0092,0.0053,0.0012,0.0048,0.0002,0.005
Acidified,1,1,In,2,2,3,0.0167,0.0079,0.0022,0.0009,0.0005,0.0014
Acidified,1,1,In,2,2,4,0.0324,0.0155,0.005,0.0125,0.001,0.0135
Acidified,1,1,In,2,2,5,0.0098,0.005,0.0014,0.0046,0.0003,0.0049
Acidified,1,1,In,2,2,6,0.0198,0.0091,0.0023,0.0076,0.0006,0.0082
Acidified,1,1,In,2,2,7,0.0288,0.0149,0.0041,0.0108,0.0006,0.0114
Acidified,1,1,In,2,2,8,0.0168,0.0071,0.0026,0.006,0.0005,0.0065
Acidified,1,1,In,2,2,9,0.0136,0.0089,NA,0.006,NA,NA
Acidified,1,1,In,2,2,10,0.0059,0.003,0.0007,0.0034,0.0002,0.0036
Acidified,1,1,In,2,2,11,0.0192,0.0108,0.0035,0.0075,0.0007,0.0082
Acidified,1,1,In,2,2,12,0.0116,0.0063,0.002,0.0056,0.0003,0.0059
Acidified,1,1,In,2,2,13,0.0236,0.0134,0.0037,0.0108,0.0005,0.0113
Acidified,1,1,In,3,3,1,0.003,0.003,NA,0.0029,NA,NA
Acidified,1,1,In,3,3,2,0.0041,0.0041,NA,0.0035,NA,NA
Acidified,1,1,In,3,3,3,0.0036,0.0036,NA,0.0021,NA,NA
Acidified,1,1,In,3,3,4,0.007,0.0039,0.0004,0.0035,0.0005,0.004
Acidified,1,1,In,3,3,5,0.0089,0.0051,NA,0.0053,NA,NA
Acidified,1,1,In,3,3,6,0.008,0.0039,NA,0.0041,NA,NA
