Water_Trt,Header,Population,Animal_Rep,Container,Indiv_Start,Males_Start,Females_Start,Indiv_End,Males_End,Females_End,Surv__All,Surv_Males,Surv_Female
Acidified,1,Lower,1,1,33,2,31,6,4,2,18.18181818,200,6.451612903
Acidified,1,Lower,2,2,33,2,31,9,2,7,27.27272727,100,22.58064516
Acidified,1,Lower,3,3,33,2,31,1,1,0,3.03030303,50,0
Acidified,1,Upper,1,1,33,2,31,14,4,10,42.42424242,200,32.25806452
Acidified,1,Upper,2,2,33,2,31,1,0,1,3.03030303,0,3.225806452
Acidified,1,Upper,3,3,33,2,31,13,5,8,39.39393939,250,25.80645161
Acidified,3,Lower,1,7,33,2,31,1,0,1,3.03030303,0,3.225806452
Acidified,3,Lower,2,8,33,2,31,1,1,1,3.03030303,50,3.225806452
Acidified,3,Lower,3,9,33,2,31,3,1,2,9.090909091,50,6.451612903
Acidified,3,Upper,1,7,33,2,31,1,1,0,3.03030303,50,0
Acidified,3,Upper,2,8,33,2,31,1,1,0,3.03030303,50,0
Acidified,3,Upper,3,9,33,2,31,0,0,0,0,0,0
Acidified,8,Lower,1,22,33,2,31,8,3,5,24.24242424,150,16.12903226
Acidified,8,Lower,2,23,33,2,31,6,2,4,18.18181818,100,12.90322581
Acidified,8,Lower,3,24,33,2,31,6,3,3,18.18181818,150,9.677419355
Acidified,8,Upper,1,22,33,2,31,4,4,0,12.12121212,200,0
Acidified,8,Upper,2,23,33,2,31,9,3,6,27.27272727,150,19.35483871
Acidified,8,Upper,3,24,33,2,31,3,0,3,9.090909091,0,9.677419355
Control,2,Lower,1,4,33,2,31,6,2,4,18.18181818,100,12.90322581
Control,2,Lower,2,5,33,2,31,2,0,2,6.060606061,0,6.451612903
Control,2,Lower,3,6,33,2,31,2,1,1,6.060606061,50,3.225806452
Control,2,Upper,1,4,33,2,31,2,0,2,6.060606061,0,6.451612903
Control,2,Upper,2,5,33,2,31,6,1,5,18.18181818,50,16.12903226
Control,2,Upper,3,6,33,2,31,13,7,6,39.39393939,350,19.35483871
Control,6,Lower,1,16,33,2,31,11,4,7,33.33333333,200,22.58064516
Control,6,Lower,2,17,33,2,31,10,4,6,30.3030303,200,19.35483871
Control,6,Lower,3,18,33,2,31,11,4,7,33.33333333,200,22.58064516
Control,6,Upper,1,16,33,2,31,5,0,5,15.15151515,0,16.12903226
Control,6,Upper,2,17,33,2,31,7,1,6,21.21212121,50,19.35483871
Control,6,Upper,3,18,33,2,31,2,0,2,6.060606061,0,6.451612903
Control,9,Lower,1,25,33,2,31,14,4,10,42.42424242,200,32.25806452
Control,9,Lower,2,26,33,2,31,5,1,4,15.15151515,50,12.90322581
Control,9,Lower,3,27,33,2,31,0,0,0,0,0,0
Control,9,Upper,1,25,33,2,31,7,3,4,21.21212121,150,12.90322581
Control,9,Upper,2,26,33,2,31,0,0,0,0,0,0
Control,9,Upper,3,27,33,2,31,23,9,14,69.6969697,450,45.16129032
Variable,4,Lower,1,10,33,2,31,9,1,8,27.27272727,50,25.80645161
Variable,4,Lower,2,11,33,2,31,11,2,9,33.33333333,100,29.03225806
Variable,4,Lower,3,12,33,2,31,10,5,5,30.3030303,250,16.12903226
Variable,4,Upper,1,10,33,2,31,8,3,5,24.24242424,150,16.12903226
Variable,4,Upper,2,11,33,2,31,18,10,8,54.54545455,500,25.80645161
Variable,4,Upper,3,12,33,2,31,15,10,5,45.45454545,500,16.12903226
Variable,5,Lower,1,13,33,2,31,2,0,2,6.060606061,0,6.451612903
Variable,5,Lower,2,14,33,2,31,10,4,6,30.3030303,200,19.35483871
Variable,5,Lower,3,15,33,2,31,5,2,3,15.15151515,100,9.677419355
Variable,5,Upper,1,13,33,2,31,11,3,8,33.33333333,150,25.80645161
Variable,5,Upper,2,14,33,2,31,5,2,3,15.15151515,100,9.677419355
Variable,5,Upper,3,15,33,2,31,2,0,2,6.060606061,0,6.451612903
Variable,7,Lower,1,19,33,2,31,11,5,6,33.33333333,250,19.35483871
Variable,7,Lower,2,20,33,2,31,5,1,4,15.15151515,50,12.90322581
Variable,7,Lower,3,21,33,2,31,4,1,3,12.12121212,50,9.677419355
Variable,7,Upper,1,19,33,2,31,1,0,1,3.03030303,0,3.225806452
Variable,7,Upper,2,20,33,2,31,4,1,3,12.12121212,50,9.677419355
Variable,7,Upper,3,21,33,2,31,8,3,5,24.24242424,150,16.12903226
