Timing,Water_Trt,Water_Rep,Header,Population,Animal_Rep,Weight
End,Acidified,1,1,Lower,1,0.0204
End,Acidified,1,1,Lower,2,0.0442
End,Acidified,1,1,Lower,3,0.0049
End,Acidified,1,1,Upper,1,0.0641
End,Acidified,1,1,Upper,2,0.0038
End,Acidified,1,1,Upper,3,0.0783
End,Acidified,2,3,Lower,1,0.0088
End,Acidified,2,3,Lower,2,0.0045
End,Acidified,2,3,Lower,3,0.0212
End,Acidified,2,3,Upper,1,0.0035
End,Acidified,2,3,Upper,2,0.0048
End,Acidified,2,3,Upper,3,NA
End,Acidified,3,8,Lower,1,0.045
End,Acidified,3,8,Lower,2,0.0347
End,Acidified,3,8,Lower,3,0.0304
End,Acidified,3,8,Upper,1,0.0123
End,Acidified,3,8,Upper,2,0.0289
End,Acidified,3,8,Upper,3,0.0195
End,Control,1,2,Lower,1,0.0251
End,Control,1,2,Lower,2,0.0125
End,Control,1,2,Lower,3,0.012
End,Control,1,2,Upper,1,0.007
End,Control,1,2,Upper,2,0.0329
End,Control,1,2,Upper,3,0.0727
End,Control,2,6,Lower,1,0.0774
End,Control,2,6,Lower,2,0.0555
End,Control,2,6,Lower,3,0.0663
End,Control,2,6,Upper,1,0.0324
End,Control,2,6,Upper,2,0.0464
End,Control,2,6,Upper,3,0.0145
End,Control,3,9,Lower,1,0.0644
End,Control,3,9,Lower,2,0.0468
End,Control,3,9,Lower,3,NA
End,Control,3,9,Upper,1,0.0389
End,Control,3,9,Upper,2,NA
End,Control,3,9,Upper,3,0.1199
End,Variable,1,4,Lower,1,0.0742
End,Variable,1,4,Lower,2,0.0851
End,Variable,1,4,Lower,3,0.0685
End,Variable,1,4,Upper,1,0.0479
End,Variable,1,4,Upper,2,0.0816
End,Variable,1,4,Upper,3,0.0661
End,Variable,2,5,Lower,1,0.011
End,Variable,2,5,Lower,2,0.0296
End,Variable,2,5,Lower,3,0.0084
End,Variable,2,5,Upper,1,0.0428
End,Variable,2,5,Upper,2,0.0278
End,Variable,2,5,Upper,3,0.0074
End,Variable,3,7,Lower,1,0.0685
End,Variable,3,7,Lower,2,0.0209
End,Variable,3,7,Lower,3,0.0185
End,Variable,3,7,Upper,1,0.0056
End,Variable,3,7,Upper,2,0.0373
End,Variable,3,7,Upper,3,0.0405
