Date,Time,Water_Trt,Water_Rep,Header,pH_handheld,pH_TRIS,pH_controller,pH_animal
7/19/2019,845,Acidified,1,1,7.76,7.79,7.72,NA
7/19/2019,845,Control ,1,2,7.84,7.87,NA,NA
7/19/2019,845,Acidified,2,3,7.72,7.75,7.75,NA
7/19/2019,845,Variable,1,4,7.41,7.44,7.24,NA
7/19/2019,845,Variable,2,5,7.86,7.89,7.89,NA
7/19/2019,845,Control ,2,6,7.86,7.89,NA,NA
7/19/2019,845,Variable,3,7,6.72,6.75,6.67,NA
7/19/2019,845,Acidified,3,8,7.57,7.6,7.63,NA
7/19/2019,845,Control ,3,9,7.85,7.88,NA,NA
7/19/2019,1000,Acidified,1,1,7.69,7.72,7.78,NA
7/19/2019,1000,Control ,1,2,7.84,7.87,7.65,NA
7/19/2019,1000,Acidified,2,3,7.65,7.68,NA,NA
7/19/2019,1000,Variable,1,4,7.65,7.68,NA,NA
7/19/2019,1000,Variable,2,5,7.73,7.76,NA,NA
7/19/2019,1000,Control ,2,6,7.85,7.88,NA,NA
7/19/2019,1000,Variable,3,7,7.75,7.78,NA,NA
7/19/2019,1000,Acidified,3,8,7.45,7.48,7.55,NA
7/19/2019,1000,Control ,3,9,7.85,7.88,NA,NA
7/19/2019,1540,Acidified,1,1,7.54,7.57,7.7,NA
7/19/2019,1540,Control ,1,2,7.83,7.86,NA,NA
7/19/2019,1540,Acidified,2,3,7.62,7.65,7.58,NA
7/19/2019,1540,Variable,1,4,7.84,7.87,NA,NA
7/19/2019,1540,Variable,2,5,7.84,7.87,NA,NA
7/19/2019,1540,Control ,2,6,7.85,7.88,NA,NA
7/19/2019,1540,Variable,3,7,7.85,7.88,NA,NA
7/19/2019,1540,Acidified,3,8,7.72,7.75,7.79,NA
7/19/2019,1540,Control ,3,9,7.85,7.88,NA,NA
7/19/2019,1600,Acidified,1,1,7.64,7.67,7.75,NA
7/19/2019,1600,Control ,1,2,7.82,7.85,NA,NA
7/19/2019,1600,Acidified,2,3,7.74,7.77,7.76,NA
7/19/2019,1600,Variable,1,4,7.57,7.6,7.57,NA
7/19/2019,1600,Variable,2,5,7.48,7.51,7.52,NA
7/19/2019,1600,Control ,2,6,7.84,7.87,NA,NA
7/19/2019,1600,Variable,3,7,7.32,7.35,7.79,NA
7/19/2019,1600,Acidified,3,8,7.52,7.55,7.7,NA
7/19/2019,1600,Control ,3,9,7.85,7.88,NA,NA
7/20/19,950,Acidified,1,1,7.55,7.58,7.63,7.65
7/20/19,950,Control ,1,2,7.83,7.86,NA,NA
7/20/19,950,Acidified,2,3,7.54,7.57,7.67,NA
7/20/19,950,Variable,1,4,7.64,7.67,7.7,NA
7/20/19,950,Variable,2,5,7.56,7.59,7.63,NA
7/20/19,950,Control ,2,6,7.84,7.87,NA,7.82
7/20/19,950,Variable,3,7,7.52,7.55,7.59,7.52
7/20/19,950,Acidified,3,8,7.51,7.54,7.68,NA
7/20/19,950,Control ,3,9,7.84,7.87,NA,NA
7/20/19,1550,Acidified,1,1,7.63,7.66,7.79,NA
7/20/19,1550,Control ,1,2,7.82,7.85,NA,7.82
7/20/19,1550,Acidified,2,3,7.62,7.65,7.76,NA
7/20/19,1550,Variable,1,4,7.83,7.86,NA,7.79
7/20/19,1550,Variable,2,5,7.84,7.87,NA,NA
7/20/19,1550,Control ,2,6,7.84,7.87,NA,NA
7/20/19,1550,Variable,3,7,7.85,7.88,NA,NA
7/20/19,1550,Acidified,3,8,7.7,7.73,7.75,7.76
7/20/19,1550,Control ,3,9,7.85,7.88,NA,NA
7/21/2019,950,Acidified,1,1,7.6,7.63,7.74,NA
7/21/2019,950,Control ,1,2,7.82,7.85,NA,NA
7/21/2019,950,Acidified,2,3,7.7,7.73,7.8,7.54
7/21/2019,950,Variable,1,4,7.6,7.63,7.57,NA
7/21/2019,950,Variable,2,5,7.4,7.43,7.54,7.6
7/21/2019,950,Control ,2,6,7.82,7.85,NA,7.81
7/21/2019,950,Variable,3,7,7.59,7.62,7.57,NA
7/21/2019,950,Acidified,3,8,7.68,7.71,7.75,NA
7/21/2019,950,Control ,3,9,7.84,7.87,NA,NA
7/21/2019,1350,Acidified,1,1,7.57,7.6,7.73,NA
7/21/2019,1350,Control ,1,2,7.82,7.85,NA,7.84
7/21/2019,1350,Acidified,2,3,7.59,7.62,7.71,NA
7/21/2019,1350,Variable,1,4,7.85,7.88,NA,NA
7/21/2019,1350,Variable,2,5,7.86,7.89,NA,7.85
7/21/2019,1350,Control ,2,6,7.86,7.89,NA,NA
7/21/2019,1350,Variable,3,7,7.87,7.9,NA,NA
7/21/2019,1350,Acidified,3,8,7.74,7.77,7.75,7.63
