Bottle,Sample,Date,Water_trt,Water_rep,Tank,TA,TA_SD,Sal,pCO2,pH_meas,temp,pH_calc,CO2,HCO3,CO3,Calcite,Arag
52,7.29.2020 Acid 1 Clam 1-2 ,7.29.2019,Acidified,1,Animal,2159.34,0.76,33,2274.08,7.78,12,7.435,94.58,2089.81,27.76,0.67,0.43
53,7.29.2020 Acid 1 Header,7.29.2019,Acidified,1,Header,2230.93,14.88,33,6056.8,7.78,12,7.033,251.91,2202.21,11.57,0.28,0.18
49,7.29.2020 Acid 2 Coro U-2,7.29.2019,Acidified,2,Animal,2151.66,2.71,33,2689.77,7.57,12,7.363,111.87,2092.68,23.54,0.57,0.36
50,7.29.2020 Acid 2 Header,7.29.2019,Acidified,2,Header,2163.58,0.4,33,2274.08,7.58,12,7.436,94.58,2093.82,27.87,0.67,0.43
68,7.29.2020 Acid 3 Coro U-2,7.29.2019,Acidified,3,Animal,2153.31,7.1,33,2194.41,7.62,12,7.449,91.27,2081.77,28.55,0.69,0.44
69,7.29.2020 Acid 3 Header,7.29.2019,Acidified,3,Header,2176,2.41,33,1415.01,7.68,12,7.637,58.85,2066.86,43.64,1.05,0.67
65,7.29.2020 Con 1 Coro L-1,7.29.2019,Control,1,Animal,2149.87,1.46,33,1619.38,7.96,12,7.576,67.35,2055.33,37.71,0.91,0.58
66,7.29.2020 Con 1 Header,7.29.2019,Control,1,Header,2165.62,10.64,33,1761.41,7.96,12,7.544,73.26,2077,35.4,0.85,0.54
63,7.29.2020 Con 2 Coro L-3,7.29.2019,Control,2,Animal,2152.48,2.78,33,1512,7.95,12,7.605,62.89,2051.62,40.24,0.97,0.62
64,7.29.2020 Con 2 Header,7.29.2019,Control,2,Header,2162.48,1.5,33,1217.56,7.94,12,7.696,50.64,2038.9,49.36,1.19,0.76
62,7.29.2020 Con 3 Clam 3-1,7.29.2019,Control,3,Animal,2173.18,1.29,33,1189.84,7.96,12,7.707,49.49,2045.97,50.86,1.23,0.78
55,7.29.2020 Con 3 Header,7.29.2019,Control,3,Header,2180.68,2.33,33,1085.92,7.94,12,7.746,45.17,2041.94,55.5,1.34,0.85
72,7.29.2020 Vari 1 Coro L-1,7.29.2019,Variable,1,Animal,2149.07,2.88,33,1550.1,7.96,12,7.594,64.47,2050.74,39.22,0.95,0.6
67,7.29.2020 Vari 1 Header,7.29.2019,Variable,1,Header,2174.49,1.76,33,1092.85,7.95,12,7.742,45.45,2037.2,54.9,1.32,0.84
70,7.29.2020 Vari 2 Clam 2-3,7.29.2019,Variable,2,Animal,2159.07,3.16,33,1387.29,7.97,12,7.641,57.7,2049.44,43.77,1.06,0.67
56,7.29.2020 Vari 2 Header,7.29.2019,Variable,2,Header,2161.28,3.34,33,1435.79,7.96,12,7.628,59.72,2054.82,42.51,1.03,0.65
71,7.29.2020 Vari 3 Coro U-3,7.29.2019,Variable,3,Animal,2167.7,8.47,33,1498.14,7.96,12,7.611,62.31,2064.75,41.14,0.99,0.63
61,7.29.2020 Vari 3 Header,7.29.2019,Variable,3,Header,2175.79,1.09,33,1027.03,7.95,12,7.768,42.72,2030.66,58.04,1.4,0.89
42,8.08.2020 Acid 1 Coro U-1,8.08.2019,Acidified,1,Animal,2159.93,0.13,33,2312.19,7.63,14,7.437,90.31,2085.53,29.81,0.72,0.46
60,8.08.2020 Acid 1 Header,8.08.2019,Acidified,1,Header,2163.29,12.98,33,2156.31,7.77,14,7.467,84.22,2083.67,31.9,0.77,0.49
40,8.08.2020 Acid 2 Coro L-2,8.08.2019,Acidified,2,Animal,2151.66,0.61,33,2641.27,7.82,14,7.38,103.16,2086.43,26.11,0.63,0.4
41,8.08.2020 Acid 2 Header,8.08.2019,Acidified,2,Header,2208.94,1.98,33,3063.88,7.83,14,7.328,119.67,2149.57,23.9,0.58,0.37
38,8.08.2020 Acid 3 Clam 3-1,8.08.2019,Acidified,3,Animal,2152.97,0.66,33,2121.67,7.63,14,7.472,82.87,2072.81,32.09,0.77,0.49
39,8.08.2020 Acid 3 Header,8.08.2019,Acidified,3,Header,2210.34,4.03,33,5585.7,7.83,14,7.073,218.17,2176.99,13.44,0.32,0.21
47,8.08.2020 Con 1 Clam 1-2,8.08.2019,Control,1,Animal,2160.91,4.22,33,1124.03,8.04,14,7.736,43.9,2017.65,57.39,1.39,0.88
46,8.08.2020 Con 1 Header,8.08.2019,Control,1,Header,2155.58,0.23,33,1484.29,8.04,14,7.621,57.97,2044.16,44.61,1.08,0.69
44,8.08.2020 Con 2 Coro L-1,8.08.2019,Control,2,Animal,2148.69,0.34,33,2644.74,8.03,14,7.379,103.3,2083.69,26.01,0.63,0.4
45,8.08.2020 Con 2 Header,8.08.2019,Control,2,Header,2160.87,0.06,33,1435.79,8.04,14,7.636,56.08,2045.59,46.18,1.11,0.71
43,8.08.2020 Con 3 Coro U-3,8.08.2019,Control,3,Animal,2164.9,0.58,33,1671.34,8.04,14,7.574,65.28,2064.1,40.39,0.97,0.62
48,8.08.2020 Con 3 Header,8.08.2019,Control,3,Header,2319.84,12.79,33,3936.82,8.04,14,7.243,153.77,2268.86,20.72,0.5,0.32
51,8.08.2020 Vari 1 Coro L-3,8.08.2019,Variable,1,Animal,2149.86,1.18,33,1837.62,8.03,14,7.531,71.77,2058.55,36.54,0.88,0.56
54,8.08.2020 Vari 1 Header,8.08.2019,Variable,1,Header,2279.87,2.15,33,2769.44,7.79,14,7.384,108.17,2210.8,27.96,0.67,0.43
