Sample,Date,Month,Site,Meter,Sediment,Mean.fw.um,Sd.fw.um,Skewness.fw.um,Kurtosis.fw.um,Mean.fw.phi,Sd.fw.phi,Skewness.fw.phi,Kurtosis.fw.phi,D10(um),D50(um),D90(um),D90/D10,D90-D10,D75/D25,D75-D25,Trask(So),Krumbein(Qd),Texture,Boulder,Gravel,Sand,mud,boulder,vcgravel,cgravel,mgravel,fgravel,vfgravel,vcsand,csand,msand,fsand,vfsand,vcsilt,silt
CL4.19.08.20,8/19/2020,August,CL,4,"Medium Sand,Moderately Sorted,Symmetrical,Leptokurtic",561.534,1.998,0.078,1.341,1.522,0.998,-0.078,1.341,845.935,353.592,152.019,0.18,-693.916,0.47,-272.562,1.458,-0.544,Slightly Gravelly Sand,0,3.604,95.199,1.197,0,0,0,0,2.374,1.23,3.692,18.781,47.86,22.381,2.485,0,1.197
CL5.19.08.20,8/19/2020,August,CL,5,"Medium Sand,Poorly Sorted,Very Coarse Skewed,Leptokurtic",687.919,3.441,0.327,1.451,1.111,1.783,-0.327,1.451,4312.083,356.319,135.009,0.031,-4177.074,0.302,-481.695,1.818,-0.863,Gravelly Sand,0,14.965,81.886,3.149,0,0,0,0,11.216,3.75,4.985,12.052,36.825,23.821,4.204,0,3.149
CL9.19.08.20,8/19/2020,August,CL,9,"Medium Sand,Poorly Sorted,Symmetrical,Leptokurtic",498.011,2.401,0.024,1.403,1.54,1.264,-0.024,1.403,1079.617,346.214,131.854,0.122,-947.763,0.387,-335.023,1.608,-0.685,Slightly Gravelly Sand,0,4.763,91.391,3.846,0,0,0,0,1.694,3.068,5.888,17.168,41.831,22.049,4.456,0,3.846
CL12.19.08.20,8/19/2020,August,CL,12,"Coarse Sand,Poorly Sorted,Coarse Skewed,Mesokurtic",1198.58,3.479,0.139,0.98,0.747,1.799,-0.139,0.98,3154.241,492.576,135.572,0.043,-3018.67,0.186,-1167.905,2.316,-1.212,Gravelly Sand,0,19.26,76.73,4.01,0,0,0,0,5.172,14.088,11.995,18.132,28.39,13.845,4.368,0,4.01
CL14.19.08.20,8/19/2020,August,CL,14,"Coarse Sand,Poorly Sorted,Coarse Skewed,Mesokurtic",963.605,3.756,0.136,1.084,0.87,1.909,-0.136,1.084,3388.579,466.597,106.809,0.032,-3281.77,0.191,-1070.161,2.29,-1.195,Gravelly Sand,0,17.439,77.647,4.914,0,0,0,0,7.66,9.779,12.669,17.081,28.18,13.116,6.601,0,4.914
CL15.19.08.20,8/19/2020,August,CL,15,"Medium Sand,Poorly Sorted,Symmetrical,Leptokurtic",494.818,3.271,-0.089,1.5,1.456,1.71,0.089,1.5,1476.07,364.171,88.716,0.06,-1387.353,0.285,-484.507,1.874,-0.906,Gravelly Sand,0,5.913,87.593,6.495,0,0,0,0,2.401,3.512,9.327,19.486,33.4,18.363,7.017,0,6.495
POCO1.19.08.20,8/19/2020,August,POCO,1,"Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",58.253,8.111,-0.286,1.333,2.432,3.02,0.286,1.333,1893.599,268.517,6.596,0.003,-1887.003,0.109,-606.09,3.025,-1.597,Gravelly Muddy Sand,0,9.351,68.836,21.814,0,0,0,0,3.675,5.676,8.234,13.742,20.82,12.893,13.147,0,21.814
POCO8.19.08.20,8/19/2020,August,POCO,8,"Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",52.863,8.256,-0.293,1.356,2.489,3.045,0.293,1.356,1941.113,265.61,6.292,0.003,-1934.821,0.112,-576.33,2.99,-1.58,Gravelly Muddy Sand,0,9.681,67.952,22.367,0,0,0,0,3.807,5.874,7.405,13.262,21.535,13.024,12.727,0,22.367
POCO9.19.08.20,8/19/2020,August,POCO,9,"Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",100.265,6.414,-0.242,1.47,2.224,2.681,0.242,1.47,1672.497,265.079,9.666,0.006,-1662.83,0.145,-517.181,2.629,-1.394,Gravelly Muddy Sand,0,8.124,73.699,18.177,0,0,0,0,3.385,4.739,7.272,13.623,22.917,15.657,14.23,0,18.177
POCO10.19.08.20,8/19/2020,August,POCO,10,"Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",28.681,9.653,-0.206,1.331,2.772,3.271,0.206,1.331,2346.219,204.521,5.02,0.002,-2341.199,0.095,-554.215,3.236,-1.694,Gravelly Muddy Sand,0,11.159,63.39,25.451,0,0,0,0,6.129,5.03,6.011,11.314,17.31,14.52,14.235,0,25.451
POCO11.19.08.20,8/19/2020,August,POCO,11,"Fine Sand,Very Poorly Sorted,Fine Skewed,Leptokurtic",97.199,8.141,-0.237,1.369,2.105,3.025,0.237,1.369,2534.253,301.405,8.019,0.003,-2526.234,0.112,-673.573,2.993,-1.582,Gravelly Muddy Sand,0,12.344,67.866,19.79,0,0,0,0,5.482,6.862,8.227,12.543,23.124,11.878,12.094,0,19.79
