Sample,Date,Month,Site,Location,Meter,Sediment,Mean.fw.um,Sd.fw.um,Skewness.fw.um,Kurtosis.fw.um,Mean.fw.phi,Sd.fw.phi,Skewness.fw.phi,Kurtosis.fw.phi,D10(um),D50(um),D90(um),D90/D10,D90-D10,D75/D25,D75-D25,Trask(So),Krumbein(Qd),Texture,Boulder,Gravel,Sand,mud,boulder,vcgravel,cgravel,mgravel,fgravel,vfgravel,vcsand,csand,msand,fsand,vfsand,vcsilt,silt
CL24.10.09.2021,10.09.2021,October,CL,End,24,"Medium Sand,Moderately Sorted,Coarse Skewed,Leptokurtic",1165.026,1.628,0.241,1.205,1.151,0.703,-0.241,1.205,905.09,442.495,277.19,0.306,-627.9,0.539,-282.099,1.362,-0.445,Slightly Gravelly Sand,0,3.524,96.454,0.022,0,0,0,0,0.585,2.94,4.671,31.356,59.278,1.118,0.03,0,0.022
CL12.10.09.2021,10.09.2021,October,CL,Mid,12,"Medium Sand,Moderately Well Sorted,Coarse Skewed,Mesokurtic",1106.938,1.497,0.11,0.904,1.192,0.582,-0.11,0.904,717.334,435.232,272.257,0.38,-445.077,0.551,-265.065,1.348,-0.431,Slightly Gravelly Sand,0,1.543,98.429,0.027,0,0,0,0,0.197,1.346,2.714,33.915,59.1,2.661,0.04,0,0.027
CL1.10.09.2021,10.09.2021,October,CL,Start,1,"Medium Sand,Moderately Sorted,Coarse Skewed,Leptokurtic",942.061,1.88,0.204,1.307,1.223,0.91,-0.204,1.307,1063.85,403.76,206.267,0.194,-857.583,0.477,-316.805,1.449,-0.535,Slightly Gravelly Sand,0,3.729,95.311,0.961,0,0,0,0,2.049,1.68,6.886,23.498,51.509,11.329,2.088,0,0.961
LL25.10.09.2021,10.09.2021,October,LL,End,25,"Medium Sand,Very Poorly Sorted,Symmetrical,Mesokurtic",235.16,8.805,0.008,0.935,1.404,3.138,-0.008,0.935,4699.552,286.691,12.012,0.003,-4687.54,0.038,-2185.98,5.161,-2.368,Gravelly Muddy Sand,0,27.69,55.707,16.603,0,0,0,0,13.03,14.66,10.726,6.738,6.039,7.78,24.423,0,16.603
LL13.5.10.09.2021,10.09.2021,October,LL,Mid,13.5,"Medium Sand,Very Poorly Sorted,Symmetrical,Platykurtic",136.701,10.863,-0.007,0.884,1.602,3.441,0.007,0.884,5374.248,259.011,8.752,0.002,-5365.496,0.028,-2720.086,5.979,-2.58,Muddy Sandy Gravel,0,32.123,48.876,19,0,0,0,0,17.424,14.7,8.438,5.084,4.589,6.413,24.352,0,19
LL3.10.09.2021,10.09.2021,October,LL,Start,3,"Very Coarse Sand,Very Poorly Sorted,Very Fine Skewed,Platykurtic",3250.362,5.892,-0.403,0.693,-0.004,2.559,0.403,0.693,6303.792,1600.367,80.622,0.013,-6223.17,0.043,-4221.747,4.849,-2.278,Muddy Sandy Gravel,0,47.242,46.893,5.865,0,0,0,0,29.088,18.153,8.577,5.814,7.393,10.342,14.766,0,5.865
Poco23.10.09.2021,10.09.2021,October,Poco,End,23,"Medium Sand,Very Poorly Sorted,Fine Skewed,Mesokurtic",356.834,8.865,-0.127,1.107,1.192,3.148,0.127,1.107,4904.711,421.857,12.153,0.002,-4892.558,0.062,-2026.791,4.01,-2.004,Gravelly Muddy Sand,0,26.364,57.11,16.526,0,0,0,0,14.168,12.196,9.177,10.384,16.625,11.072,9.853,0,16.526
Poco15.10.09.2021,10.09.2021,October,Poco,Mid,15,"Medium Sand,Very Poorly Sorted,Symmetrical,Leptokurtic",392.917,7.19,-0.08,1.32,1.246,2.846,0.08,1.32,3813.061,377.975,18.974,0.005,-3794.087,0.109,-1305.719,3.035,-1.602,Gravelly Muddy Sand,0,20.495,65.46,14.045,0,0,0,0,9.222,11.273,10.026,11.077,20.815,13.849,9.693,0,14.045
Poco6.10.09.2021,10.09.2021,October,Poco,Start,6,"Fine Sand,Very Poorly Sorted,Very Fine Skewed,Mesokurtic",33.553,10.286,-0.316,1.031,2.621,3.363,0.316,1.031,2193.485,268.359,4.448,0.002,-2189.037,0.054,-755.926,4.299,-2.104,Gravelly Muddy Sand,0,11.226,61.29,27.484,0,0,0,0,2.023,9.203,10.292,12.647,17.638,14.83,5.883,0,27.484
RH23.10.09.2021,10.09.2021,October,RH,End,23,"Fine Sand,Very Poorly Sorted,Symmetrical,Mesokurtic",45.735,11.616,-0.035,0.957,2.253,3.538,0.035,0.957,3797.083,188.924,5.831,0.002,-3791.252,0.037,-1765.305,5.227,-2.386,Gravelly Muddy Sand,0,23.726,52.955,23.319,0,0,0,0,8.885,14.841,10.088,6.866,5.455,6.866,23.68,0,23.319
