Species,Water,Sediment,sed_pH,Container,Total,Burrow_type,Burrow_num,Burrow_prop
Clam,Acidified,Control,7.33,1,25,Not,6,0.24
Clam,Acidified,Control,7.27,3,25,Not,8,0.32
Clam,Acidified,Control,7.32,5,19,Not,12,0.631578947
Clam,Acidified,Control,7.36,7,23,Not,11,0.47826087
Clam,Acidified,Control,7.47,9,22,Not,11,0.5
Clam,Acidified,Acidified,6.85,11,20,Not,18,0.9
Clam,Acidified,Acidified,6.42,34,24,Not,4,0.166666667
Clam,Acidified,Acidified,6.4,36,21,Not,2,0.095238095
Clam,Acidified,Acidified,6.37,38,21,Not,11,0.523809524
Clam,Acidified,Acidified,6.63,40,25,Not,15,0.6
Clam,Control,Acidified,6.85,42,24,Not,19,0.791666667
Clam,Control,Acidified,6.42,45,20,Not,12,0.6
Clam,Control,Acidified,6.4,47,22,Not,15,0.681818182
Clam,Control,Acidified,6.37,49,25,Not,13,0.52
Clam,Control,Acidified,6.63,53,24,Not,5,0.208333333
Clam,Control,Control,7.33,56,25,Not,12,0.48
Clam,Control,Control,7.27,57,16,Not,3,0.1875
Clam,Control,Control,7.32,62,21,Not,4,0.19047619
Clam,Control,Control,7.36,65,25,Not,2,0.08
Clam,Control,Control,7.47,70,25,Not,5,0.2
Clam,Acidified,Control,7.33,1,25,Complete,19,0.76
Clam,Acidified,Control,7.27,3,25,Complete,17,0.68
Clam,Acidified,Control,7.32,5,19,Complete,7,0.368421053
Clam,Acidified,Control,7.36,7,23,Complete,12,0.52173913
Clam,Acidified,Control,7.47,9,22,Complete,11,0.5
Clam,Acidified,Acidified,6.85,11,20,Complete,2,0.1
Clam,Acidified,Acidified,6.42,34,24,Complete,20,0.833333333
Clam,Acidified,Acidified,6.4,36,21,Complete,19,0.904761905
Clam,Acidified,Acidified,6.37,38,21,Complete,10,0.476190476
Clam,Acidified,Acidified,6.63,40,25,Complete,10,0.4
Clam,Control,Acidified,6.85,42,24,Complete,5,0.208333333
Clam,Control,Acidified,6.42,45,20,Complete,8,0.4
Clam,Control,Acidified,6.4,47,22,Complete,7,0.318181818
Clam,Control,Acidified,6.37,49,25,Complete,11,0.44
Clam,Control,Acidified,6.63,53,24,Complete,19,0.791666667
Clam,Control,Control,7.33,56,25,Complete,13,0.52
Clam,Control,Control,7.27,57,16,Complete,13,0.8125
Clam,Control,Control,7.32,62,21,Complete,17,0.80952381
Clam,Control,Control,7.36,65,25,Complete,23,0.92
Clam,Control,Control,7.47,70,25,Complete,20,0.8
Snail,Acidified,Control,7.68,6,20,Not,20,1
Snail,Acidified,Control,7.23,12,20,Not,16,0.8
Snail,Acidified,Control,7.24,15,20,Not,20,1
Snail,Acidified,Control,7.24,23,20,Not,15,0.75
Snail,Acidified,Control,7.22,19,20,Not,18,0.9
Snail,Acidified,Acidified,6.82,27,21,Not,18,0.857142857
Snail,Acidified,Acidified,6.82,30,20,Not,17,0.85
Snail,Acidified,Acidified,6.87,32,20,Not,19,0.95
Snail,Acidified,Acidified,6.87,35,20,Not,18,0.9
Snail,Acidified,Acidified,6.7,37,19,Not,19,1
Snail,Control,Acidified,6.82,44,20,Not,17,0.85
Snail,Control,Acidified,6.82,38,20,Not,20,1
Snail,Control,Acidified,6.87,52,20,Not,20,1
Snail,Control,Acidified,6.87,55,20,Not,19,0.95
Snail,Control,Acidified,6.7,59,19,Not,14,0.736842105
Snail,Control,Control,7.68,60,20,Not,12,0.6
Snail,Control,Control,7.23,64,20,Not,18,0.9
Snail,Control,Control,7.24,73,20,Not,15,0.75
Snail,Control,Control,7.24,76,20,Not,16,0.8
Snail,Control,Control,7.22,79,20,Not,20,1
Snail,Acidified,Control,7.68,6,20,Partial,0,0
Snail,Acidified,Control,7.23,12,20,Partial,3,0.15
Snail,Acidified,Control,7.24,15,20,Partial,0,0
Snail,Acidified,Control,7.24,23,20,Partial,4,0.2
Snail,Acidified,Control,7.22,19,20,Partial,2,0.1
Snail,Acidified,Acidified,6.82,27,21,Partial,2,0.095238095
Snail,Acidified,Acidified,6.82,30,20,Partial,3,0.15
Snail,Acidified,Acidified,6.87,32,20,Partial,1,0.05
Snail,Acidified,Acidified,6.87,35,20,Partial,2,0.1
Snail,Acidified,Acidified,6.7,37,19,Partial,0,0
Snail,Control,Acidified,6.82,44,20,Partial,2,0.1
Snail,Control,Acidified,6.82,38,20,Partial,0,0
Snail,Control,Acidified,6.87,52,20,Partial,0,0
Snail,Control,Acidified,6.87,55,20,Partial,1,0.05
Snail,Control,Acidified,6.7,59,19,Partial,2,0.105263158
Snail,Control,Control,7.68,60,20,Partial,5,0.25
Snail,Control,Control,7.23,64,20,Partial,1,0.05
Snail,Control,Control,7.24,73,20,Partial,2,0.1
Snail,Control,Control,7.24,76,20,Partial,3,0.15
Snail,Control,Control,7.22,79,20,Partial,0,0
Snail,Acidified,Control,7.68,6,20,Complete,0,0
Snail,Acidified,Control,7.23,12,20,Complete,0,0
Snail,Acidified,Control,7.24,15,20,Complete,0,0
Snail,Acidified,Control,7.24,23,20,Complete,1,0.05
Snail,Acidified,Control,7.22,19,20,Complete,0,0
Snail,Acidified,Acidified,6.82,27,21,Complete,0,0
Snail,Acidified,Acidified,6.82,30,20,Complete,0,0
Snail,Acidified,Acidified,6.87,32,20,Complete,0,0
Snail,Acidified,Acidified,6.87,35,20,Complete,0,0
Snail,Acidified,Acidified,6.7,37,19,Complete,0,0
Snail,Control,Acidified,6.82,44,20,Complete,1,0.05
Snail,Control,Acidified,6.82,38,20,Complete,0,0
Snail,Control,Acidified,6.87,52,20,Complete,0,0
Snail,Control,Acidified,6.87,55,20,Complete,0,0
Snail,Control,Acidified,6.7,59,19,Complete,4,0.210526316
Snail,Control,Control,7.68,60,20,Complete,3,0.15
Snail,Control,Control,7.23,64,20,Complete,1,0.05
Snail,Control,Control,7.24,73,20,Complete,3,0.15
Snail,Control,Control,7.24,76,20,Complete,1,0.05
Snail,Control,Control,7.22,79,20,Complete,0,0
Corophium,Acidified,Control,7.36,2,24,Not,10,0.416666667
Corophium,Acidified,Control,7.53,4,26,Not,16,0.615384615
Corophium,Acidified,Control,7.42,8,19,Not,9,0.473684211
Corophium,Acidified,Control,7.54,10,11,Not,2,0.181818182
Corophium,Acidified,Control,7.68,14,27,Not,3,0.111111111
Corophium,Acidified,Acidified,6.63,18,0,Not,0,0
Corophium,Acidified,Acidified,6.38,26,0,Not,0,0
Corophium,Acidified,Acidified,6.66,29,25,Not,21,0.84
Corophium,Acidified,Acidified,6.45,31,19,Not,17,0.894736842
Corophium,Acidified,Acidified,6.4,33,22,Not,22,1
Corophium,Control,Acidified,6.63,41,30,Not,21,0.7
Corophium,Control,Acidified,6.38,46,20,Not,14,0.7
Corophium,Control,Acidified,6.66,51,21,Not,21,1
Corophium,Control,Acidified,6.45,54,17,Not,17,1
Corophium,Control,Acidified,6.4,58,23,Not,18,0.782608696
Corophium,Control,Control,7.36,67,33,Not,1,0.03030303
Corophium,Control,Control,7.53,72,27,Not,10,0.37037037
Corophium,Control,Control,7.42,74,33,Not,16,0.484848485
Corophium,Control,Control,7.54,77,28,Not,10,0.357142857
Corophium,Control,Control,7.68,80,37,Not,26,0.702702703
