Species,Water,Sediment,sed_pH,Container,Total,Burrow_type,Burrow_num,Burrow_prop,Transf_burrow
Clam,Acidified,Control,7.33,1,25,Not,6,0.24,2.808032462
Clam,Acidified,Control,7.27,3,25,Not,8,0.32,3.242869839
Clam,Acidified,Control,7.32,5,19,Not,12,0.631578947,4.558213566
Clam,Acidified,Control,7.36,7,23,Not,11,0.47826087,3.965535505
Clam,Acidified,Control,7.47,9,22,Not,11,0.5,4.054807228
Clam,Acidified,Acidified,6.85,11,20,Not,18,0.9,5.443741439
Clam,Acidified,Acidified,6.42,34,24,Not,4,0.166666667,2.339740641
Clam,Acidified,Acidified,6.4,36,21,Not,2,0.095238095,1.768466926
Clam,Acidified,Acidified,6.37,38,21,Not,11,0.523809524,4.150392829
Clam,Acidified,Acidified,6.63,40,25,Not,15,0.6,4.442562135
Clam,Control,Acidified,6.85,42,24,Not,19,0.791666667,5.104679857
Clam,Control,Acidified,6.42,45,20,Not,12,0.6,4.442562135
Clam,Control,Acidified,6.4,47,22,Not,15,0.681818182,4.736436034
Clam,Control,Acidified,6.37,49,25,Not,13,0.52,4.135246593
Clam,Control,Acidified,6.63,53,24,Not,5,0.208333333,2.616091474
Clam,Control,Control,7.33,56,25,Not,12,0.48,3.972750581
Clam,Control,Control,7.27,57,16,Not,3,0.1875,2.481755991
Clam,Control,Control,7.32,62,21,Not,4,0.19047619,2.501387342
Clam,Control,Control,7.36,65,25,Not,2,0.08,1.620785523
Clam,Control,Control,7.47,70,25,Not,5,0.2,2.563200041
Clam,Acidified,Control,7.33,1,25,Complete,19,0.76,5.001278904
Clam,Acidified,Control,7.27,3,25,Complete,17,0.68,4.730102164
Clam,Acidified,Control,7.32,5,19,Complete,7,0.368421053,3.479860907
Clam,Acidified,Control,7.36,7,23,Complete,12,0.52173913,4.142167999
Clam,Acidified,Control,7.47,9,22,Complete,11,0.5,4.054807228
Clam,Acidified,Acidified,6.85,11,20,Complete,2,0.1,1.812153747
Clam,Acidified,Acidified,6.42,34,24,Complete,20,0.833333333,5.237656921
Clam,Acidified,Acidified,6.4,36,21,Complete,19,0.904761905,5.45816748
Clam,Acidified,Acidified,6.37,38,21,Complete,10,0.476190476,3.95692908
Clam,Acidified,Acidified,6.63,40,25,Complete,10,0.4,3.626123433
Clam,Control,Acidified,6.85,42,24,Complete,5,0.208333333,2.616091474
Clam,Control,Acidified,6.42,45,20,Complete,8,0.4,3.626123433
Clam,Control,Acidified,6.4,47,22,Complete,7,0.318181818,3.233634195
Clam,Control,Acidified,6.37,49,25,Complete,11,0.44,3.803364673
Clam,Control,Acidified,6.63,53,24,Complete,19,0.791666667,5.104679857
Clam,Control,Control,7.33,56,25,Complete,13,0.52,4.135246593
Clam,Control,Control,7.27,57,16,Complete,13,0.8125,5.171591159
Clam,Control,Control,7.32,62,21,Complete,17,0.80952381,5.162084933
Clam,Control,Control,7.36,65,25,Complete,23,0.92,5.504079804
Clam,Control,Control,7.47,70,25,Complete,20,0.8,5.131547949
Snail,Acidified,Control,7.68,6,20,Not,20,1,5.739170477
Snail,Acidified,Control,7.23,12,20,Not,16,0.8,5.131547949
Snail,Acidified,Control,7.24,15,20,Not,20,1,5.739170477
Snail,Acidified,Control,7.24,23,20,Not,15,0.75,4.968183536
Snail,Acidified,Control,7.22,19,20,Not,18,0.9,5.443741439
Snail,Acidified,Acidified,6.82,27,21,Not,18,0.857142857,5.31216575
Snail,Acidified,Acidified,6.82,30,20,Not,17,0.85,5.289922048
Snail,Acidified,Acidified,6.87,32,20,Not,19,0.95,5.59338194
Snail,Acidified,Acidified,6.87,35,20,Not,18,0.9,5.443741439
Snail,Acidified,Acidified,6.7,37,19,Not,19,1,5.739170477
Snail,Control,Acidified,6.82,44,20,Not,17,0.85,5.289922048
Snail,Control,Acidified,6.82,38,20,Not,20,1,5.739170477
Snail,Control,Acidified,6.87,52,20,Not,20,1,5.739170477
Snail,Control,Acidified,6.87,55,20,Not,19,0.95,5.59338194
Snail,Control,Acidified,6.7,59,19,Not,14,0.736842105,4.924301557
Snail,Control,Control,7.68,60,20,Not,12,0.6,4.442562135
Snail,Control,Control,7.23,64,20,Not,18,0.9,5.443741439
Snail,Control,Control,7.24,73,20,Not,15,0.75,4.968183536
Snail,Control,Control,7.24,76,20,Not,16,0.8,5.131547949
Snail,Control,Control,7.22,79,20,Not,20,1,5.739170477
Snail,Acidified,Control,7.68,6,20,Complete,0,0,0
Snail,Acidified,Control,7.23,12,20,Complete,3,0.15,2.219611137
Snail,Acidified,Control,7.24,15,20,Complete,0,0,0
Snail,Acidified,Control,7.24,23,20,Complete,5,0.25,2.865983983
Snail,Acidified,Control,7.22,19,20,Complete,2,0.1,1.812153747
Snail,Acidified,Acidified,6.82,27,21,Complete,2,0.095238095,1.768466926
Snail,Acidified,Acidified,6.82,30,20,Complete,3,0.15,2.219611137
Snail,Acidified,Acidified,6.87,32,20,Complete,1,0.05,1.281279367
Snail,Acidified,Acidified,6.87,35,20,Complete,2,0.1,1.812153747
Snail,Acidified,Acidified,6.7,37,19,Complete,0,0,0
Snail,Control,Acidified,6.82,44,20,Complete,3,0.15,2.219611137
Snail,Control,Acidified,6.82,38,20,Complete,0,0,0
Snail,Control,Acidified,6.87,52,20,Complete,0,0,0
Snail,Control,Acidified,6.87,55,20,Complete,1,0.05,1.281279367
Snail,Control,Acidified,6.7,59,19,Complete,6,0.315789474,3.221441866
Snail,Control,Control,7.68,60,20,Complete,8,0.4,3.626123433
Snail,Control,Control,7.23,64,20,Complete,2,0.1,1.812153747
