Water,GabaPres,Species,Container,Burr_prop,Burrow_type
Control,N,Snail,1,0,Complete
Control,N,Snail,2,0,Complete
Control,N,Snail,3,0,Complete
Control,N,Snail,4,0.05,Complete
Control,N,Snail,5,0,Complete
Acidified,N,Snail,1,0,Complete
Acidified,N,Snail,2,0,Complete
Acidified,N,Snail,3,0,Complete
Acidified,N,Snail,4,0.1,Complete
Acidified,N,Snail,5,0,Complete
Control,Y,Snail,1,0.1,Complete
Control,Y,Snail,2,0,Complete
Control,Y,Snail,3,0.15,Complete
Control,Y,Snail,4,0,Complete
Control,Y,Snail,5,0,Complete
Acidified,Y,Snail,1,0,Complete
Acidified,Y,Snail,2,0,Complete
Acidified,Y,Snail,3,0.2,Complete
Acidified,Y,Snail,4,0.15,Complete
Acidified,Y,Snail,5,0.15,Complete
Control,N,Corophium,1,0.45,Complete
Control,N,Corophium,2,0.6,Complete
Control,N,Corophium,3,0.75,Complete
Control,N,Corophium,4,0.9,Complete
Control,N,Corophium,5,0.8,Complete
Acidified,N,Corophium,1,0.6,Complete
Acidified,N,Corophium,2,0.55,Complete
Acidified,N,Corophium,3,0.35,Complete
Acidified,N,Corophium,4,0.5,Complete
Acidified,N,Corophium,5,0.4,Complete
Control,Y,Corophium,1,0.7,Complete
Control,Y,Corophium,2,0.65,Complete
Control,Y,Corophium,3,0.7,Complete
Control,Y,Corophium,4,0.85,Complete
Control,Y,Corophium,5,0.75,Complete
Acidified,Y,Corophium,1,0.6,Complete
Acidified,Y,Corophium,2,0.75,Complete
Acidified,Y,Corophium,3,0.95,Complete
Acidified,Y,Corophium,4,0.9,Complete
Acidified,Y,Corophium,5,0.8,Complete
Control,N,Snail,1,1,Not
Control,N,Snail,2,1,Not
Control,N,Snail,3,1,Not
Control,N,Snail,4,0.95,Not
Control,N,Snail,5,1,Not
Acidified,N,Snail,1,1,Not
Acidified,N,Snail,2,1,Not
Acidified,N,Snail,3,1,Not
Acidified,N,Snail,4,0.9,Not
Acidified,N,Snail,5,1,Not
Control,Y,Snail,1,0.9,Not
Control,Y,Snail,2,1,Not
Control,Y,Snail,3,0.85,Not
Control,Y,Snail,4,1,Not
Control,Y,Snail,5,1,Not
Acidified,Y,Snail,1,1,Not
Acidified,Y,Snail,2,1,Not
Acidified,Y,Snail,3,0.8,Not
Acidified,Y,Snail,4,0.85,Not
Acidified,Y,Snail,5,0.85,Not
Control,N,Corophium,1,0.55,Not
Control,N,Corophium,2,0.4,Not
Control,N,Corophium,3,0.25,Not
Control,N,Corophium,4,0.1,Not
Control,N,Corophium,5,0.2,Not
Acidified,N,Corophium,1,0.4,Not
Acidified,N,Corophium,2,0.45,Not
Acidified,N,Corophium,3,0.65,Not
Acidified,N,Corophium,4,0.5,Not
Acidified,N,Corophium,5,0.6,Not
Control,Y,Corophium,1,0.3,Not
Control,Y,Corophium,2,0.35,Not
Control,Y,Corophium,3,0.3,Not
Control,Y,Corophium,4,0.15,Not
Control,Y,Corophium,5,0.25,Not
Acidified,Y,Corophium,1,0.4,Not
Acidified,Y,Corophium,2,0.25,Not
Acidified,Y,Corophium,3,0.05,Not
Acidified,Y,Corophium,4,0.1,Not
Acidified,Y,Corophium,5,0.2,Not
Control,N,Limecola,1,1,Complete
Control,N,Limecola,2,1,Complete
Control,N,Limecola,3,0.5,Complete
Control,N,Limecola,4,1,Complete
Control,N,Limecola,5,1,Complete
Acidified,N,Limecola,1,0.666666667,Complete
Acidified,N,Limecola,2,1,Complete
Acidified,N,Limecola,3,1,Complete
Acidified,N,Limecola,4,1,Complete
Acidified,N,Limecola,5,0.833333333,Complete
Control,Y,Limecola,1,0.833333333,Complete
Control,Y,Limecola,2,0.833333333,Complete
Control,Y,Limecola,3,0.666666667,Complete
Control,Y,Limecola,4,0.833333333,Complete
Control,Y,Limecola,5,0.833333333,Complete
Acidified,Y,Limecola,1,0.833333333,Complete
Acidified,Y,Limecola,2,0.833333333,Complete
Acidified,Y,Limecola,3,0.833333333,Complete
Acidified,Y,Limecola,4,0.833333333,Complete
Acidified,Y,Limecola,5,0.833333333,Complete
Control,N,Limecola,1,0,Not
Control,N,Limecola,2,0,Not
Control,N,Limecola,3,0.5,Not
Control,N,Limecola,4,0,Not
Control,N,Limecola,5,0,Not
Acidified,N,Limecola,1,0.333333333,Not
Acidified,N,Limecola,2,0,Not
Acidified,N,Limecola,3,0,Not
Acidified,N,Limecola,4,0,Not
Acidified,N,Limecola,5,0.166666667,Not
Control,Y,Limecola,1,0.166666667,Not
Control,Y,Limecola,2,0.166666667,Not
Control,Y,Limecola,3,0.333333333,Not
Control,Y,Limecola,4,0.166666667,Not
Control,Y,Limecola,5,0.166666667,Not
Acidified,Y,Limecola,1,0.166666667,Not
Acidified,Y,Limecola,2,0.166666667,Not
Acidified,Y,Limecola,3,0.166666667,Not
Acidified,Y,Limecola,4,0.166666667,Not
Acidified,Y,Limecola,5,0.166666667,Not
