Container,Treatment,num_start,num_recov,snail_mort,snail_surv,weigh_start,weigh_end,chang_weigh,leng_start,leng_end,leng_chang
6,Acidified,20,20,0,100,30.13,31.36,0.0408231,19.79,19.48,-0.015913758
12,Acidified,20,20,0,100,26.22,27.4,0.045003814,18.9775,18.905,-0.003834964
15,Acidified,20,20,0,100,9.15,10.38,0.13442623,13.4975,13.54,0.003138848
19,Acidified,20,20,0,100,7.98,9.17,0.149122807,14.7775,16.76,0.118287589
23,Acidified,20,20,0,100,19.88,23.04,0.158953722,15.1025,13.005,-0.161284121
27,Acidified,20,21,0,100,25.67,27.42,0.068172965,18.74,13.4,-0.398507463
30,Acidified,20,20,0,100,27.63,29.56,0.069851611,19.365,14.55,-0.330927835
32,Acidified,20,20,0,100,16.67,18.16,0.089382124,16.565,11.8,-0.403813559
35,Acidified,20,20,0,100,27.51,29.14,0.059251181,18.715,13.3,-0.407142857
37,Acidified,20,19,0.05,95,25.5,24.65,-0.033333333,18.64,13.421,-0.388868192
44,Control,20,20,0,100,34.47,37.27,0.081230055,16.65,15.9,-0.047169811
48,Control,20,20,0,100,30.02,31.91,0.062958028,15.75,14.895,-0.057401813
52,Control,20,20,0,100,31.37,33.2,0.05833599,16.2,15.632,-0.036335722
55,Control,20,20,0,100,8.27,9.82,0.187424426,8.75,8.1,-0.080246914
59,Control,20,19,0.05,95,27.06,28.02,0.035476718,14.95,14.526,-0.02918904
60,Control,20,20,0,100,8.25,9.14,0.107878788,11.1775,13.205,0.153540326
64,Control,20,20,0,100,26.68,27.13,0.016866567,16.945,18.84,0.100583864
73,Control,20,20,0,100,26.24,26.53,0.011051829,16.8125,18.875,0.109271523
76,Control,20,20,0,100,29.8,30.53,0.024496644,17.19,18.83,0.087095061
79,Control,20,20,0,100,27.8,28.43,0.022661871,17.46410256,20.111,0.131614412
