Treatment,Rep,Species,Container,Depth,Point,pH
Control,2,Snail,31,0,A,7.14
Control,2,Snail,31,1,A,7.49
Control,2,Snail,31,2,A,7.48
Control,2,Snail,31,3,A,7.42
Control,2,Snail,31,4,A,7.38
Control,2,Snail,31,0,B,7.56
Control,2,Snail,31,1,B,7.39
Control,2,Snail,31,2,B,7.41
Control,2,Snail,31,3,B,7.45
Control,2,Snail,31,4,B,7.41
Control,2,Snail,31,0,C,7.56
Control,2,Snail,31,1,C,7.66
Control,2,Snail,31,2,C,7.38
Control,2,Snail,31,3,C,7.37
Control,2,Snail,31,4,C,7.37
Control,2,Corophium,7,0,A,7.5
Control,2,Corophium,7,1,A,7.43
Control,2,Corophium,7,2,A,7.36
Control,2,Corophium,7,3,A,7.34
Control,2,Corophium,7,4,A,7.32
Control,2,Corophium,7,0,B,7.3
Control,2,Corophium,7,1,B,7.14
Control,2,Corophium,7,2,B,7.02
Control,2,Corophium,7,3,B,7
Control,2,Corophium,7,4,B,7
Control,2,Corophium,7,0,C,7.4
Control,2,Corophium,7,1,C,7.35
Control,2,Corophium,7,2,C,7.3
Control,2,Corophium,7,3,C,7.3
Control,2,Corophium,7,4,C,7.28
Control,2,Snail,36,0,A,7.38
Control,2,Snail,36,1,A,7.34
Control,2,Snail,36,2,A,7.35
Control,2,Snail,36,3,A,7.34
Control,2,Snail,36,4,A,7.32
Control,2,Snail,36,0,B,7.56
Control,2,Snail,36,1,B,7.52
Control,2,Snail,36,2,B,7.47
Control,2,Snail,36,3,B,7.42
Control,2,Snail,36,4,B,7.4
Control,2,Snail,36,0,C,7.49
Control,2,Snail,36,1,C,7.47
Control,2,Snail,36,2,C,7.45
Control,2,Snail,36,3,C,7.43
Control,2,Snail,36,4,C,7.38
Control,1,Corophium,4,0,A,7.66
Control,1,Corophium,4,1,A,7.58
Control,1,Corophium,4,2,A,7.52
Control,1,Corophium,4,3,A,7.51
Control,1,Corophium,4,4,A,7.45
Control,1,Corophium,4,0,B,7.74
Control,1,Corophium,4,1,B,7.65
Control,1,Corophium,4,2,B,7.55
Control,1,Corophium,4,3,B,7.43
Control,1,Corophium,4,4,B,7.39
Control,1,Corophium,4,0,C,7.62
Control,1,Corophium,4,1,C,7.63
Control,1,Corophium,4,2,C,7.54
Control,1,Corophium,4,3,C,7.52
Control,1,Corophium,4,4,C,7.46
Control,2,Snail,33,0,A,7.55
Control,2,Snail,33,1,A,7.45
Control,2,Snail,33,2,A,7.28
Control,2,Snail,33,3,A,7.27
Control,2,Snail,33,4,A,7.24
Control,2,Snail,33,0,B,7.58
Control,2,Snail,33,1,B,7.48
Control,2,Snail,33,2,B,7.4
Control,2,Snail,33,3,B,7.38
Control,2,Snail,33,4,B,7.36
Control,2,Snail,33,0,C,7.72
Control,2,Snail,33,1,C,7.6
Control,2,Snail,33,2,C,7.42
Control,2,Snail,33,3,C,7.33
Control,2,Snail,33,4,C,7.29
Acidified,1,Corophium,16,0,A,7.46
Acidified,1,Corophium,16,1,A,7.45
Acidified,1,Corophium,16,2,A,7.41
Acidified,1,Corophium,16,3,A,7.36
Acidified,1,Corophium,16,4,A,7.27
Acidified,1,Corophium,16,0,B,7.67
Acidified,1,Corophium,16,1,B,7.59
Acidified,1,Corophium,16,2,B,7.52
Acidified,1,Corophium,16,3,B,7.48
Acidified,1,Corophium,16,4,B,7.47
Acidified,1,Corophium,16,0,C,7.57
Acidified,1,Corophium,16,1,C,7.49
Acidified,1,Corophium,16,2,C,7.2
Acidified,1,Corophium,16,3,C,7.2
Acidified,1,Corophium,16,4,C,7.19
Acidified,1,Snail,39,0,A,7.45
Acidified,1,Snail,39,1,A,7.43
Acidified,1,Snail,39,2,A,7.38
Acidified,1,Snail,39,3,A,7.36
Acidified,1,Snail,39,4,A,7.33
Acidified,1,Snail,39,0,B,7.51
Acidified,1,Snail,39,1,B,7.53
Acidified,1,Snail,39,2,B,7.45
