Treatment,Rep,Container,Indiv_start,Indiv_end,Surv,Mort,weigh_start,weigh_end,chang_weigh,leng_end,leng_start,leng_chang
Control,1,25,20,20,1,0,30.57,27.75,-0.101621622,1.785,1.79,-0.00279
Control,1,26,20,20,1,0,28.12,25.11,-0.119872561,1.76,1.785,-0.01401
Control,1,27,20,20,1,0,32.51,26.03,-0.248943527,1.765,1.765,0.00000
Control,1,28,20,20,1,0,27.23,25.61,-0.06325654,1.76,1.78,-0.01124
Control,1,29,20,20,1,0,32.54,30.23,-0.076414158,1.965,1.955,0.00512
Control,1,30,20,20,1,0,29.19,28.05,-0.040641711,1.81,1.805,0.00277
Control,2,31,20,20,1,0,31.27,28.77,-0.086896072,1.855,1.87,-0.00802
Control,2,32,20,20,1,0,32.36,30.17,-0.072588664,1.865,1.88,-0.00798
Control,2,33,20,20,1,0,27.56,26.45,-0.041965974,1.775,1.8,-0.01389
Control,2,34,20,20,1,0,27.85,27.01,-0.031099593,1.775,1.765,0.00567
Control,2,35,20,20,1,0,30.52,27.8,-0.097841727,1.845,1.82,0.01374
Control,2,36,20,20,1,0,31.44,29.71,-0.058229552,1.82,1.85,-0.01622
Acidified,1,37,20,20,1,0,30.83,28.83,-0.069372182,1.83,1.84,-0.00543
Acidified,1,38,20,20,1,0,32.46,32.18,-0.008701057,1.89,1.875,0.00800
Acidified,1,39,20,20,1,0,31.6,29.23,-0.081081081,1.84,1.85,-0.00541
Acidified,1,40,20,20,1,0,29.39,26.88,-0.093377976,1.795,1.77,0.01412
Acidified,1,41,20,20,1,0,30.37,27.89,-0.08892076,1.81,1.805,0.00277
Acidified,1,42,20,20,1,0,28.77,26.33,-0.092669958,1.79,1.8,-0.00556
Acidified,2,43,20,20,1,0,26.26,24.26,-0.082440231,1.705,1.705,0.00000
Acidified,2,44,20,20,1,0,31.88,29.46,-0.082145282,1.9,1.915,-0.00783
Acidified,2,45,20,20,1,0,29.47,27.76,-0.061599424,1.85,1.835,0.00817
Acidified,2,46,20,20,1,0,27.69,26.13,-0.059701493,1.765,1.76,0.00284
Acidified,2,47,20,20,1,0,28.67,26.21,-0.093857306,1.785,1.78,0.00281
Acidified,2,48,20,20,1,0,31.29,29.48,-0.061397558,1.825,1.84,-0.00815
